,Insulation thickness (m),Wall U-value (W/m2K),Window U-value (W/m2K),Window SHGC (ratio),Shading control (W/m2),Thermostat settings offset (C),Heating energy (kWh),Cooling energy (kWh),Total energy (kWh),Heating energy (kWh/m2),Cooling energy (kWh/m2),Total energy (kWh/m2)
168,0.001,2.84,2.4,0.68,0,3,4935.2,504.1,5439.3,213.6,21.8,235.5
169,0.001,2.84,2.4,0.68,0,2,4622.8,643.2,5266,200.1,27.8,228.0
170,0.001,2.84,2.4,0.68,0,1,4310.9,786.6,5097.6,186.6,34.1,220.7
171,0.001,2.84,2.4,0.68,0,0,4000.7,931,4931.7,173.2,40.3,213.5
172,0.001,2.84,2.4,0.68,0,-1,3692.8,1076.9,4769.7,159.9,46.6,206.5
173,0.001,2.84,2.4,0.68,0,-2,3389.8,1214,4603.8,146.7,52.6,199.3
174,0.001,2.84,2.4,0.68,0,-3,3093.7,1337.6,4431.3,133.9,57.9,191.8
175,0.001,2.84,2.4,0.68,200,3,4498.9,999.4,5498.3,194.8,43.3,238.0
176,0.001,2.84,2.4,0.68,200,2,4195.2,1192.8,5388,181.6,51.6,233.2
177,0.001,2.84,2.4,0.68,200,1,3892.4,1390.4,5282.8,168.5,60.2,228.7
178,0.001,2.84,2.4,0.68,200,0,3591.5,1578.6,5170.1,155.5,68.3,223.8
179,0.001,2.84,2.4,0.68,200,-1,3295.7,1752.2,5048,142.7,75.9,218.5
180,0.001,2.84,2.4,0.68,200,-2,3003.7,1908.2,4911.9,130.0,82.6,212.6
181,0.001,2.84,2.4,0.68,200,-3,2719.9,2038.3,4758.3,117.7,88.2,206.0
182,0.001,2.84,2.4,0.68,400,3,4166.3,1747.3,5913.7,180.4,75.6,256.0
183,0.001,2.84,2.4,0.68,400,2,3870.9,1959.3,5830.2,167.6,84.8,252.4
184,0.001,2.84,2.4,0.68,400,1,3577.8,2166.3,5744.1,154.9,93.8,248.7
185,0.001,2.84,2.4,0.68,400,0,3285.8,2355.5,5641.3,142.2,102.0,244.2
186,0.001,2.84,2.4,0.68,400,-1,2999.0,2519.8,5518.8,129.8,109.1,238.9
187,0.001,2.84,2.4,0.68,400,-2,2718.7,2655.2,5373.9,117.7,114.9,232.6
188,0.001,2.84,2.4,0.68,400,-3,2448.8,2765.8,5214.6,106.0,119.7,225.7
189,0.001,2.84,2.4,0.68,600,3,3801.3,2676.9,6478.2,164.6,115.9,280.4
190,0.001,2.84,2.4,0.68,600,2,3519.3,2881.9,6401.2,152.4,124.8,277.1
191,0.001,2.84,2.4,0.68,600,1,3239.0,3072.7,6311.8,140.2,133.0,273.2
192,0.001,2.84,2.4,0.68,600,0,2962.3,3245.6,6207.9,128.2,140.5,268.7
193,0.001,2.84,2.4,0.68,600,-1,2691.7,3394.9,6086.6,116.5,147.0,263.5
194,0.001,2.84,2.4,0.68,600,-2,2430.4,3519,5949.4,105.2,152.3,257.5
195,0.001,2.84,2.4,0.68,600,-3,2184.6,3621.3,5805.9,94.6,156.8,251.3
196,0.001,2.84,2.4,0.68,800,3,3561.4,3150.6,6712,154.2,136.4,290.6
197,0.001,2.84,2.4,0.68,800,2,3295.3,3351.9,6647.2,142.7,145.1,287.8
198,0.001,2.84,2.4,0.68,800,1,3032.2,3540,6572.3,131.3,153.2,284.5
199,0.001,2.84,2.4,0.68,800,0,2770.9,3709.6,6480.5,120.0,160.6,280.5
200,0.001,2.84,2.4,0.68,800,-1,2519.6,3856,6375.7,109.1,166.9,276.0
201,0.001,2.84,2.4,0.68,800,-2,2277.3,3977.3,6254.6,98.6,172.2,270.8
202,0.001,2.84,2.4,0.68,800,-3,2045.9,4077.2,6123.1,88.6,176.5,265.1
203,0.001,2.84,2.4,0.68,1000,3,3552.4,3152.9,6705.4,153.8,136.5,290.3
204,0.001,2.84,2.4,0.68,1000,2,3287.6,3354.2,6641.8,142.3,145.2,287.5
205,0.001,2.84,2.4,0.68,1000,1,3025.5,3542.3,6567.9,131.0,153.3,284.3
206,0.001,2.84,2.4,0.68,1000,0,2765.1,3711.9,6477,119.7,160.7,280.4
207,0.001,2.84,2.4,0.68,1000,-1,2514.0,3858.3,6372.3,108.8,167.0,275.9
208,0.001,2.84,2.4,0.68,1000,-2,2271.7,3979.6,6251.3,98.3,172.3,270.6
209,0.001,2.84,2.4,0.68,1000,-3,2040.7,4079.4,6120,88.3,176.6,264.9
210,0.001,2.84,2.4,0.8,0,3,4910.0,537.5,5447.5,212.6,23.3,235.8
211,0.001,2.84,2.4,0.8,0,2,4598.3,679.1,5277.4,199.1,29.4,228.5
212,0.001,2.84,2.4,0.8,0,1,4287.0,824.1,5111.1,185.6,35.7,221.3
213,0.001,2.84,2.4,0.8,0,0,3977.3,971,4948.3,172.2,42.0,214.2
214,0.001,2.84,2.4,0.8,0,-1,3670.1,1118.1,4788.1,158.9,48.4,207.3
215,0.001,2.84,2.4,0.8,0,-2,3367.8,1257.2,4625,145.8,54.4,200.2
216,0.001,2.84,2.4,0.8,0,-3,3072.8,1382,4454.8,133.0,59.8,192.8
217,0.001,2.84,2.4,0.8,200,3,4395.0,1163.1,5558.2,190.3,50.4,240.6
218,0.001,2.84,2.4,0.8,200,2,4093.2,1368.9,5462.1,177.2,59.3,236.5
219,0.001,2.84,2.4,0.8,200,1,3793.1,1569.8,5362.9,164.2,68.0,232.2
220,0.001,2.84,2.4,0.8,200,0,3495.5,1759.9,5255.4,151.3,76.2,227.5
221,0.001,2.84,2.4,0.8,200,-1,3201.8,1940.4,5142.2,138.6,84.0,222.6
