,Insulation thickness (m),Window U-value (W/m2K),Window SHGC (ratio),Shading control (W/m2),Thermostat settings offset (C),Heating energy (kWh),Cooling energy (kWh),Total energy (kWh)
231,0.001,2.4,0.8,600,3,3610.133426293314,3166.0,6776.1
232,0.001,2.4,0.8,600,2,3333.4597674683205,3369.7,6703.2
233,0.001,2.4,0.8,600,1,3059.963851408277,3557.8,6617.7
234,0.001,2.4,0.8,600,0,2791.1441429683887,3723.7,6514.8
235,0.001,2.4,0.8,600,-1,2530.335690012799,3863.8,6394.1
236,0.001,2.4,0.8,600,-2,2282.7986707205273,3979.3,6262.1
237,0.001,2.4,0.8,600,-3,2046.882497573597,4078.9,6125.8
238,0.001,2.4,0.8,800,3,3360.1323491826943,3718.2,7078.4
239,0.001,2.4,0.8,800,2,3101.2890226230124,3916.9,7018.2
240,0.001,2.4,0.8,800,1,2845.92909021228,4100.7,6946.6
241,0.001,2.4,0.8,800,0,2597.9461139310633,4262.3,6860.2
242,0.001,2.4,0.8,800,-1,2357.0611185267007,4398.8,6755.9
243,0.001,2.4,0.8,800,-2,2123.959492925102,4511.8,6635.8
244,0.001,2.4,0.8,800,-3,1901.1082256298284,4609.3,6510.4
245,0.001,2.4,0.8,1000,3,3352.3695371292256,3721.0,7073.3
246,0.001,2.4,0.8,1000,2,3094.480525973414,3919.6,7014.1
247,0.001,2.4,0.8,1000,1,2839.411814353241,4103.5,6942.9
248,0.001,2.4,0.8,1000,0,2591.4677129618285,4264.9,6856.4
249,0.001,2.4,0.8,1000,-1,2350.870461058587,4401.5,6752.3
250,0.001,2.4,0.8,1000,-2,2118.320614892689,4514.4,6632.7
251,0.001,2.4,0.8,1000,-3,1895.5490619100567,4611.8,6507.4
252,0.001,2.1,0.2,0,3,4789.031190056511,346.5,5135.6
253,0.001,2.1,0.2,0,2,4486.870140305175,465.5,4952.4
254,0.001,2.1,0.2,0,1,4185.2167278645065,596.8,4782.0
255,0.001,2.1,0.2,0,0,3885.666894749027,731.2,4616.8
256,0.001,2.1,0.2,0,-1,3589.058013108231,865.3,4454.3
257,0.001,2.1,0.2,0,-2,3296.5468280058044,995.8,4292.4
258,0.001,2.1,0.2,0,-3,3009.027760063346,1112.0,4121.0
